"VariableName","Value","ValueLabel"
"Carnegie Classification 2021: Basic (HD2022)","10","Special Focus Two-Year: Health Professions"
"Carnegie Classification 2021: Basic (HD2022)","12","Special Focus Two-Year: Arts & Design"
"Carnegie Classification 2021: Basic (HD2022)","13","Special Focus Two-Year: Other Fields"
"Carnegie Classification 2021: Basic (HD2022)","15","Doctoral Universities: Very High Research Activity"
"Carnegie Classification 2021: Basic (HD2022)","16","Doctoral Universities: High Research Activity"
"Carnegie Classification 2021: Basic (HD2022)","17","Doctoral/Professional Universities"
"Carnegie Classification 2021: Basic (HD2022)","18","Master's Colleges & Universities: Larger Programs"
"Carnegie Classification 2021: Basic (HD2022)","19","Master's Colleges & Universities: Medium Programs"
"Carnegie Classification 2021: Basic (HD2022)","20","Master's Colleges & Universities: Small Programs"
"Carnegie Classification 2021: Basic (HD2022)","21","Baccalaureate Colleges: Arts & Sciences Focus"
"Carnegie Classification 2021: Basic (HD2022)","22","Baccalaureate Colleges: Diverse Fields"
"Carnegie Classification 2021: Basic (HD2022)","23","Baccalaureate/Associate's Colleges: Mixed Baccalaureate/Associate's"
"Carnegie Classification 2021: Basic (HD2022)","24","Special Focus Four-Year: Faith-Related Institutions"
"Carnegie Classification 2021: Basic (HD2022)","26","Special Focus Four-Year: Other Health Professions Schools"
"Carnegie Classification 2021: Basic (HD2022)","27","Special Focus Four-Year: Research Institutions"
"Carnegie Classification 2021: Basic (HD2022)","28","Special Focus Four-Year: Engineering and Other Technology-Related Schools"
"Carnegie Classification 2021: Basic (HD2022)","29","Special Focus Four-Year: Business & Management Schools"
"Carnegie Classification 2021: Basic (HD2022)","30","Special Focus Four-Year: Arts, Music & Design Schools"
"Carnegie Classification 2021: Basic (HD2022)","31","Special Focus Four-Year: Law Schools"
"Carnegie Classification 2021: Basic (HD2022)","32","Special Focus Four-Year: Other Special Focus Institutions"
"Carnegie Classification 2021: Basic (HD2022)","-2","Not applicable, not in Carnegie universe (not accredited or nondegree-granting)"
"Institution size category (HD2022)","1","Under 1,000"
"Institution size category (HD2022)","2","1,000 - 4,999"
"Institution size category (HD2022)","3","5,000 - 9,999"
"Institution size category (HD2022)","4","10,000 - 19,999"
"Institution size category (HD2022)","5","20,000 and above"
"Institution size category (HD2022)","-2","Not applicable"
"Does institution have a tenure system (FLAGS2022)","1","Has tenure system"
"Does institution have a tenure system (FLAGS2022)","2","No tenure system"
"Does institution have a tenure system (FLAGS2022)","-2","Not applicable"
